country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Lebanon,LBN,15/02/2022,5059760,2469980,2097717,12120,9466,74.75,36.49,30.99,1398,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Liechtenstein,LIE,15/02/2022,69955,26695,26240,5,33,182.87,69.78,68.59,863,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,15/02/2022,4440943,1945083,1867534,1406,1256,165.1,72.31,69.43,467,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Macao,MAC,15/02/2022,1064835,513782,483282,2162,2279,161.73,78.04,73.4,3461,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.ssm.gov.mo/docs/19164/19164_0bb6414667e045ef97326255efd0ce33_000_.pdf
Malaysia,MYS,15/02/2022,65360256,26340579,25736111,156162,154549,199.41,80.36,78.52,4715,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/MoH-Malaysia/covid19-public
Maldives,MDV,15/02/2022,881155,398010,370594,,2140,162.09,73.21,68.17,3937,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1493994635907108867
Malta,MLT,15/02/2022,1233343,468132,460052,905,1175,238.97,90.71,89.14,2277,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,15/02/2022,173037874,84765334,78499390,364159,460366,132.84,65.07,60.26,3534,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/703736/2022.02.16_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,15/02/2022,,,,,5168,,,,1284,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,15/02/2022,5457368,2270478,2171771,1175,917,163.92,68.2,65.23,275,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,15/02/2022,660059,287972,279271,440,350,105.1,45.85,44.47,557,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
New Zealand,NZL,15/02/2022,10215437,4232434,3946712,50163,51269,199.28,82.56,76.99,10001,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,15/02/2022,,,,,23370,,,,3487,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Northern Ireland,OWID_NIR,15/02/2022,3702230,1417690,1318967,2081,2117,195.27,74.77,69.57,1117,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Norway,NOR,15/02/2022,11180010,4325570,4012398,6319,7781,204.55,79.14,73.41,1424,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data
Pakistan,PAK,15/02/2022,,,,,2044649,,,,9079,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Panama,PAN,15/02/2022,6767454,3175838,2525889,8633,13296,154.45,72.48,57.65,3035,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://vacunas.panamasolidario.gob.pa/vacunometro
Peru,PER,15/02/2022,57307077,25214266,23163230,41543,76485,171.79,75.58,69.44,2293,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Poland,POL,15/02/2022,52783844,22459895,22026636,48144,60111,139.65,59.42,58.28,1590,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,15/02/2022,22538291,9641279,9288009,29153,57063,221.66,94.82,91.35,5612,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,15/02/2022,6123679,,,18478,17549,208.96,,,5988,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,15/02/2022,16599286,,8028480,7538,8573,86.78,,41.97,448,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/
Russia,RUS,15/02/2022,158411769,78044493,71317632,288843,281764,108.57,53.49,48.88,1931,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saint Lucia,LCA,15/02/2022,,,,,75,,,,407,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.covid19response.lc/
Saudi Arabia,SAU,15/02/2022,59661843,25792668,23964566,22641,112425,168.82,72.98,67.81,3181,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
Scotland,OWID_SCT,15/02/2022,11941140,4429337,4145785,8808,7088,218.46,81.03,75.85,1297,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Slovenia,SVN,15/02/2022,2950648,1263061,1216384,1659,2063,141.95,60.76,58.52,992,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats
South Africa,ZAF,15/02/2022,,,,,118430,,,,1972,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,KOR,15/02/2022,117268710,44759063,44251678,159858,185852,228.57,87.24,86.25,3622,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
Spain,ESP,15/02/2022,91716903,41016935,38391658,97379,72211,196.21,87.75,82.13,1545,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220216.ods
Sri Lanka,LKA,15/02/2022,37080721,16821707,14044375,44280,52005,172.49,78.25,65.33,2419,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,http://www.epid.gov.lk/web/images/pdf/corona_vaccination/covid_vaccination_2022-02_15.pdf
Sweden,SWE,15/02/2022,20145356,7795253,7555705,,38680,198.28,76.72,74.37,3807,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,15/02/2022,15497505,6074090,5955545,7517,9588,177.82,69.69,68.33,1100,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
Taiwan,TWN,15/02/2022,44535618,19243196,17703242,294984,260644,186.69,80.67,74.21,10926,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Thailand,THA,15/02/2022,120666929,52903926,49273748,261584,261021,172.5,75.63,70.44,3731,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/covid19-dashboard/
Timor,TLS,15/02/2022,1251823,674828,568544,,756,93.15,50.22,42.31,563,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Trinidad and Tobago,TTO,15/02/2022,1505640,738364,698274,2079,1529,107.29,52.61,49.76,1090,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query
Tunisia,TUN,15/02/2022,12892198,7121535,6293533,9311,8962,108.01,59.67,52.73,751,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/317518233751979
Turkey,TUR,15/02/2022,144326883,57586821,52657210,153516,146135,169.71,67.72,61.92,1718,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,15/02/2022,31251871,15613183,15035563,65805,56762,71.9,35.92,34.59,1306,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua
United Arab Emirates,ARE,15/02/2022,23881698,,9405904,25928,21564,239.03,,94.14,2158,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,15/02/2022,139203940,52531292,48796561,86375,69413,204.09,77.02,71.54,1018,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
United States,USA,15/02/2022,548391614,252400057,213435209,34255,308624,165.17,76.02,64.29,930,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2
Uruguay,URY,15/02/2022,7552163,2951967,2704407,3151,5820,216.7,84.7,77.6,1670,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Wales,OWID_WLS,15/02/2022,6840241,2517081,2378724,25722,6242,215.78,79.4,75.04,1969,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Albania,ALB,14/02/2022,2665804,1262067,1181246,3966,3754,92.79,43.93,41.12,1307,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-2665804-vaksinime/
Anguilla,AIA,14/02/2022,,,,,25,,,,1653,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Argentina,ARG,14/02/2022,90994135,40045405,35474267,92655,267381,199.52,87.81,77.78,5863,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Aruba,ABW,14/02/2022,167267,87094,80173,,57,156.04,81.25,74.79,532,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,14/02/2022,52474947,21922677,20374213,166577,165863,203.48,85.01,79.01,6432,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Azerbaijan,AZE,14/02/2022,12478529,5267544,4764378,272,37131,122.06,51.52,46.6,3632,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az/storage/app/9sWKkwHJeU9OdgY7G2YVU8Ux0MmAsUuc5WuhqRpD.pdf
Bahamas,BHS,14/02/2022,,,,,330,,,,831,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Barbados,BRB,14/02/2022,308035,159561,148474,122,161,107.07,55.46,51.61,560,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/moh.barbados/posts/313551277477747
Belgium,BEL,14/02/2022,24597816,9191848,8993245,7494,29941,211.46,79.02,77.31,2574,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Brazil,BRA,14/02/2022,378917750,174420792,152482989,906554,1179698,177.07,81.51,71.26,5513,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io
Bulgaria,BGR,14/02/2022,4249259,,2028663,3806,5385,61.61,,29.42,781,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,14/02/2022,33878559,14379756,13801276,102025,65185,199.92,84.85,81.44,3847,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/316017637221673
Canada,CAN,14/02/2022,79891759,32469999,30621280,67749,104528,209.87,85.29,80.44,2746,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Chile,CHL,14/02/2022,47551664,17705988,17098010,148184,66049,247.51,92.16,88.99,3438,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
China,CHN,14/02/2022,3052435000,,,5748000,5966571,211.36,,,4131,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202202/6564cf2132254ab0b1ec82d94e33a4f3.shtml
Colombia,COL,14/02/2022,75086726,40959950,32850895,234174,219594,146.47,79.9,64.08,4283,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,14/02/2022,637961,341102,296859,,0,71.81,38.39,33.41,0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Cook Islands,COK,14/02/2022,25764,13062,12702,,6,146.62,74.33,72.29,341,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,14/02/2022,8565613,4119679,3747136,,21051,166.68,80.16,72.91,4096,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Croatia,HRV,14/02/2022,5162553,2302219,2219989,2635,3700,126.48,56.4,54.39,906,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,14/02/2022,34754239,10592857,9860083,6202,23738,307.08,93.6,87.12,2097,"Abdala, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,14/02/2022,242899,106351,97927,98,146,147.39,64.53,59.42,886,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,14/02/2022,1756756,686308,641995,1736,2239,196.07,76.6,71.65,2499,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,14/02/2022,17278100,6935608,6822133,10455,12377,161.11,64.67,63.61,1154,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,14/02/2022,13152018,4845260,4739668,2767,3516,226.24,83.35,81.53,605,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Dominica,DMA,14/02/2022,,,,,31,,,,430,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Dominican Republic,DOM,14/02/2022,15082676,7033134,5841497,21527,17197,137.69,64.21,53.33,1570,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
Ecuador,ECU,14/02/2022,30940299,14720847,13445061,82957,69841,172.96,82.29,75.16,3904,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
El Salvador,SLV,14/02/2022,,,,,6743,,,,1034,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,14/02/2022,116670565,44159057,40935715,45364,54998,206.31,78.09,72.39,973,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Estonia,EST,14/02/2022,1940743,856175,835100,961,1227,146.45,64.61,63.02,926,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Ethiopia,ETH,14/02/2022,,,,,16977,,,,144,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1494035503578034176
Faeroe Islands,FRO,14/02/2022,103737,41706,40880,,24,211.48,85.02,83.34,489,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Fiji,FJI,14/02/2022,1283193,666202,616991,,351,142.12,73.78,68.33,389,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,14/02/2022,11370512,4465423,4206680,2862,18892,204.93,80.48,75.82,3405,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov
France,FRA,14/02/2022,139525631,53919516,52048571,180883,184001,206.94,79.97,77.2,2729,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,14/02/2022,348775,182726,166049,,208,123.45,64.67,58.77,736,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Georgia,GEO,14/02/2022,2779761,1544802,1234959,4279,3412,69.85,38.82,31.03,857,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,14/02/2022,168216655,63308011,62275524,114229,180739,200.5,75.46,74.23,2154,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,14/02/2022,,,,,65,,,,1929,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1493958047420620808
Greece,GRC,14/02/2022,19645225,7823248,7418623,25229,33577,189.43,75.44,71.53,3238,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,14/02/2022,79703,41229,38474,,11,140.15,72.5,67.65,193,Moderna,Government of Greenland,https://corona.nun.gl
Guatemala,GTM,14/02/2022,14114594,7084985,5485032,43159,45944,77.34,38.82,30.06,2517,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,14/02/2022,,,,,83,,,,1309,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea-Bissau,GNB,14/02/2022,548661,506823,335557,,9601,27.22,25.15,16.65,4764,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Hungary,HUN,14/02/2022,16067110,6383559,6142438,,8572,166.77,66.26,63.76,890,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-385-ezer-beoltott-8578-az-uj-fertozott-es-elhunyt-115-beteg
Iceland,ISL,14/02/2022,,,,,706,,,,1914,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,14/02/2022,1729729648,958462316,754746231,1817599,4811658,124.14,68.79,54.17,3453,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,14/02/2022,,188338544,135814029,,1283610,,68.15,49.14,4645,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Indonesia,https://data.covid19.go.id/public/index.html
Iran,IRN,14/02/2022,137986813,61664949,54851145,326923,325881,162.28,72.52,64.51,3833,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://irangov.ir/detail/380273
Ireland,IRL,14/02/2022,10513878,4039222,3941117,3104,8124,211,81.06,79.09,1630,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,14/02/2022,186252,69307,66326,,56,218.07,81.15,77.66,656,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,14/02/2022,17966759,6696418,6114250,4619,5559,193.38,72.07,65.81,598,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,14/02/2022,132301402,50527205,46964964,172700,218540,219.16,83.7,77.8,3620,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,14/02/2022,1334731,756789,637767,555,1991,44.89,25.45,21.45,670,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,14/02/2022,214571982,101530485,100011378,1133827,702582,170.23,80.55,79.34,5574,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Kazakhstan,KAZ,14/02/2022,20297258,9299294,8875617,23356,320446,106.86,48.96,46.73,16870,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,14/02/2022,15437589,8165862,7043086,200889,236375,28.08,14.85,12.81,4299,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2022/02/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-14TH-FEBRUARY-2022.pdf
Kosovo,OWID_KOS,14/02/2022,1801548,897109,810932,302,1175,101.09,50.34,45.5,659,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/252034067100416
Kyrgyzstan,KGZ,14/02/2022,2611782,1385613,1123752,11801,8837,39.4,20.9,16.95,1333,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,14/02/2022,,,,,42107,,,,5706,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://www.covid19.gov.la/index.php
Latvia,LVA,14/02/2022,2831777,1340772,1294817,1880,2721,151.68,71.82,69.36,1457,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,14/02/2022,5047640,2467903,2090557,12412,9813,74.57,36.46,30.88,1450,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Liechtenstein,LIE,14/02/2022,69950,26695,26240,11,54,182.86,69.78,68.59,1412,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,14/02/2022,4439537,1944943,1867182,1208,1295,165.05,72.31,69.42,481,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Macao,MAC,14/02/2022,1062673,513291,482703,2202,2225,161.4,77.96,73.32,3379,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.ssm.gov.mo/docs/19164/19164_0bb6414667e045ef97326255efd0ce33_000_.pdf
Malawi,MWI,14/02/2022,1900156,1511574,788297,,1446,9.67,7.69,4.01,74,"Johnson&Johnson, Oxford/AstraZeneca",Ministry of Health,https://twitter.com/health_malawi/status/1493270099826036740
Malaysia,MYS,14/02/2022,65204094,26297809,25734409,151405,154543,198.94,80.23,78.52,4715,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/MoH-Malaysia/covid19-public
